wordLearning.exposure.itemIdx,wordLearning.exposure.pass,wordLearning.exposure.image,wordLearning.exposure.audio,wordLearning.test.started,wordLearning.test.targetIdx,wordLearning.test.targetImage,wordLearning.test.optionOrder,wordLearning.test.responseIdx,wordLearning.test.correct,wordLearning.test.streakAfter,wordLearning.test.masteredSnapshot,passiveTrial.started,passive.sessionIndex,passive.movie,passive.sound,passiveTrial.stopped,passiveSelfPaceKey.keys,passiveSelfPaceKey.rt,passiveSelfPaceKey.duration,passiveTrials_s1.thisRepN,passiveTrials_s1.thisTrialN,passiveTrials_s1.thisN,passiveTrials_s1.thisIndex,passiveTrials_s1.ran,sessionIndex,passiveMovie,passiveSound,participant,születési dátum (ÉÉÉÉ.HH.NN),date,expName,psychopyVersion,OS,frameRate,comprehensionTrial.started,comprehension.sessionIndex,comprehension.correctPosition,comprehension.response,comprehension.rt,comprehension.correct,comprehension.t_sentenceAudioEnd,comprehension.t_lastChoiceClick,comprehensionTrial.stopped,comprehensionTrials_s1.thisRepN,comprehensionTrials_s1.thisTrialN,comprehensionTrials_s1.thisN,comprehensionTrials_s1.thisIndex,comprehensionTrials_s1.ran,sentence,video_correct,video_incorrect,productionTrial.started,production.sessionIndex,production.video,production.correct_words,production.all_words,production.correct_words_form,production.all_words_form,production.response,production.correct,production.t_firstVideoEnd,production.t_lastWordClick,productionTrial.stopped,productionTrials_s1.thisRepN,productionTrials_s1.thisTrialN,productionTrials_s1.thisN,productionTrials_s1.thisIndex,productionTrials_s1.ran,video,correct_words,all_words,sentence_form,correct_words_form,all_words_form
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,658.2433,1,2,2,23.199,1,16.5656,23.199,683.4593,0,5,5,5,1,HIDE-INTR-SBJ-N1.mp3,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-REVEAL-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,683.4601,1,1,1,43.0323,1,35.499,43.0323,728.242,0,6,6,6,1,SBJ-N4-HIDE-TR-OBJ-N5.mp3,OBJ-N5-SBJ-N4-HIDE-TR.mp4,OBJ-N4-SBJ-N5-REVEAL-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,728.2432,1,2,2,25.9498,1,25.9165,25.9498,756.3264,0,7,7,7,1,SBJ-N2-REVEAL-INTR.mp3,SBJ-N2-REVEAL-INTR.mp4,SBJ-N2-HIDE-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,756.3272,1,1,1,23.7489,1,17.4489,23.7489,781.8097,0,8,8,8,1,SBJ-N4-OBJ-N5-PUSH-TR.mp3,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N4-SBJ-N5-PUSH-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,781.8104,1,1,1,18.1994,1,16.7161,18.1994,801.8273,0,9,9,9,1,SBJ-N1-GO-INTR.mp3,SBJ-N1-GO-INTR.mp4,SBJ-N1-HIDE-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,801.8281,1,2,2,22.5151,1,21.3984,22.5151,826.2603,0,10,10,10,1,REVEAL-INTR-SBJ-N4.mp3,SBJ-N4-REVEAL-INTR.mp4,SBJ-N4-JUMP-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,826.261,1,2,2,18.9323,1,16.299,18.9323,847.0774,0,11,11,11,1,REVEAL-TR-OBJ-N5-SBJ-N4.mp3,OBJ-N5-SBJ-N4-REVEAL-TR.mp4,OBJ-N4-SBJ-N5-PUSH-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,847.0783,1,1,1,18.9652,1,14.8985,18.9652,867.8274,0,12,12,12,1,JUMP-INTR-SBJ-N3.mp3,SBJ-N3-JUMP-INTR.mp4,SBJ-N3-GO-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,867.8283,1,1,1,15.8654,1,16.3323,15.8654,885.461,0,13,13,13,1,SBJ-N4-OBJ-N5-PUSH-TR.mp3,OBJ-N5-SBJ-N4-PUSH-TR.mp4,OBJ-N4-SBJ-N5-PUSH-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,885.4619,1,2,2,18.332,1,19.1654,18.332,906.1112,0,14,14,14,1,REVEAL-TR-OBJ-N5-SBJ-N4.mp3,OBJ-N5-SBJ-N4-REVEAL-TR.mp4,OBJ-N4-SBJ-N5-HIDE-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,906.112,1,2,2,14.2153,1,14.3147,14.2153,922.7776,0,15,15,15,1,GO-INTR-SBJ-N5.mp3,SBJ-N5-GO-INTR.mp4,SBJ-N5-HIDE-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,922.7784,1,2,2,29.6824,1,22.8825,29.6824,954.1282,0,16,16,16,1,HIDE-INTR-SBJ-N1.mp3,SBJ-N1-HIDE-INTR.mp4,SBJ-N1-REVEAL-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,954.1289,1,2,1,42.6324,0,23.3655,42.6324,998.4284,0,17,17,17,1,OBJ-N5-HIDE-TR-SBJ-N3.mp3,OBJ-N5-SBJ-N3-HIDE-TR.mp4,OBJ-N3-SBJ-N5-HIDE-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,998.4292,1,1,1,15.8489,1,15.6654,15.8489,1015.9621,0,18,18,18,1,SBJ-N5-REVEAL-INTR.mp3,SBJ-N5-REVEAL-INTR.mp4,SBJ-N5-JUMP-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1015.963,1,2,2,13.6484,1,14.7344,13.6484,1031.7286,0,19,19,19,1,GO-INTR-SBJ-N5.mp3,SBJ-N5-GO-INTR.mp4,SBJ-N5-JUMP-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1031.7295,1,2,2,18.6487,1,18.0988,18.6487,1053.3625,0,20,20,20,1,OBJ-N5-HIDE-TR-SBJ-N1.mp3,OBJ-N5-SBJ-N1-HIDE-TR.mp4,OBJ-N1-SBJ-N5-REVEAL-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1053.3633,1,1,1,41.5153,1,17.5151,41.5153,1097.2128,0,21,21,21,1,REVEAL-TR-OBJ-N5-SBJ-N4.mp3,OBJ-N5-SBJ-N4-REVEAL-TR.mp4,OBJ-N4-SBJ-N5-REVEAL-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1097.2137,1,1,1,30.3984,1,17.5817,30.3984,1129.2295,0,22,22,22,1,LOC-N4-REVEAL-INTR-SBJ-N2.mp3,SBJ-N2-REVEAL-INTR-LOC-N4.mp4,SBJ-N4-JUMP-INTR-LOC-N2.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1129.2304,1,1,2,43.382,0,28.0153,43.382,1174.3633,0,23,23,23,1,LOC-N2-OBJ-N5-SBJ-N4-PUSH-TR.mp3,OBJ-N5-SBJ-N4-PUSH-TR-LOC-N2.mp4,OBJ-N4-SBJ-N5-PUSH-TR-LOC-N2.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1174.3642,1,2,2,25.1318,1,16.9318,25.1318,1201.1135,0,24,24,24,1,OBJ-N5-HIDE-TR-LOC-N2-SBJ-N4.mp3,OBJ-N5-SBJ-N4-HIDE-TR-LOC-N2.mp4,OBJ-N5-SBJ-N2-REVEAL-TR-LOC-N4.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1201.1144,1,1,1,25.1485,1,16.1818,25.1485,1228.0803,0,25,25,25,1,LOC-N4-REVEAL-INTR-SBJ-N2.mp3,SBJ-N2-REVEAL-INTR-LOC-N4.mp4,SBJ-N4-REVEAL-INTR-LOC-N2.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1228.0811,1,2,2,40.8821,1,25.2653,40.8821,1270.6637,0,26,26,26,1,SBJ-N5-LOC-N4-REVEAL-INTR.mp3,SBJ-N5-REVEAL-INTR-LOC-N4.mp4,SBJ-N4-JUMP-INTR-LOC-N5.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1270.6645,1,2,1,32.3813,0,25.9656,32.3813,1304.7974,0,27,27,27,1,OBJ-N5-LOC-N1-REVEAL-TR-SBJ-N4.mp3,OBJ-N5-SBJ-N4-REVEAL-TR-LOC-N1.mp4,OBJ-N4-SBJ-N5-REVEAL-TR-LOC-N1.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1304.7984,1,1,1,24.1153,1,18.0985,24.1153,1330.6641,0,28,28,28,1,SBJ-N1-LOC-N2-HIDE-TR-OBJ-N5.mp3,OBJ-N5-SBJ-N1-HIDE-TR-LOC-N2.mp4,OBJ-N1-SBJ-N5-REVEAL-TR-LOC-N2.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1330.6649,1,2,1,30.3153,0,22.6648,30.3153,1362.714,0,29,29,29,1,SBJ-N2-LOC-N4-OBJ-N5-PUSH-TR.mp3,OBJ-N5-SBJ-N2-PUSH-TR-LOC-N4.mp4,OBJ-N2-SBJ-N5-PUSH-TR-LOC-N4.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1362.7148,1,2,2,32.516,1,24.0496,32.516,1396.9814,0,30,30,30,1,SBJ-N1-LOC-N3-OBJ-N5-REVEAL-TR.mp3,OBJ-N5-SBJ-N1-REVEAL-TR-LOC-N3.mp4,OBJ-N3-SBJ-N1-HIDE-TR-LOC-N5.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1396.9821,1,1,1,13.9988,1,,13.9988,1412.7648,0,31,31,31,1,GO-INTR-SBJ-N3.mp3,SBJ-N3-GO-INTR.mp4,SBJ-N3-HIDE-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1412.7657,1,2,2,23.2988,1,16.415,23.2988,1437.7317,0,32,32,32,1,SBJ-N3-LOC-N4-PUSH-TR-OBJ-N5.mp3,OBJ-N5-SBJ-N3-PUSH-TR-LOC-N4.mp4,OBJ-N4-SBJ-N3-PUSH-TR-LOC-N5.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1437.7324,1,2,2,16.0811,1,,16.0811,1455.4486,0,33,33,33,1,OBJ-N5-HIDE-TR-Ab-SBJ-N1.mp3,OBJ-N5-Ab-SBJ-N1-HIDE-TR.mp4,OBJ-N5-Aa-SBJ-N1-PUSH-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1455.4494,1,2,2,35.2489,1,28.4822,35.2489,1492.3651,0,34,34,34,1,SBJ-N1-JUMP-INTR.mp3,SBJ-N1-JUMP-INTR.mp4,SBJ-N1-GO-INTR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1492.3658,1,2,2,16.5491,1,,16.5491,1510.5987,0,35,35,35,1,HIDE-INTR-SBJ-N2-LOC-N3.mp3,SBJ-N2-HIDE-INTR-LOC-N3.mp4,SBJ-N3-GO-INTR-LOC-N2.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1510.5995,1,2,1,26.1655,0,16.9322,26.1655,1538.4493,0,36,36,36,1,SBJ-N4-LOC-N5-HIDE-INTR.mp3,SBJ-N4-HIDE-INTR-LOC-N5.mp4,SBJ-N5-HIDE-INTR-LOC-N4.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1538.4503,1,1,1,22.5317,1,22.3984,22.5317,1562.6491,0,37,37,37,1,SBJ-N5-LOC-N4-GO-INTR.mp3,SBJ-N5-GO-INTR-LOC-N4.mp4,SBJ-N4-REVEAL-INTR-LOC-N5.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1562.6501,1,1,1,21.5477,1,15.1987,21.5477,1586.2162,0,38,38,38,1,LOC-N2-JUMP-INTR-SBJ-N3.mp3,SBJ-N3-JUMP-INTR-LOC-N2.mp4,SBJ-N2-JUMP-INTR-LOC-N3.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1586.217,1,1,1,16.6152,1,14.9653,16.6152,1604.4995,0,39,39,39,1,LOC-N1-SBJ-N4-JUMP-INTR.mp3,SBJ-N4-JUMP-INTR-LOC-N1.mp4,SBJ-N1-REVEAL-INTR-LOC-N4.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1604.5002,1,1,2,19.732,0,18.6989,19.732,1625.8163,0,40,40,40,1,SBJ-N2-Ab-OBJ-N5-HIDE-TR.mp3,Ab-OBJ-N5-SBJ-N2-HIDE-TR.mp4,OBJ-N2-Aa-SBJ-N5-HIDE-TR.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,1625.8171,1,2,1,39.9324,0,18.0322,39.9324,1667.6502,0,41,41,41,1,OBJ-N5-LOC-N4-SBJ-N3-REVEAL-TR.mp3,OBJ-N5-SBJ-N3-REVEAL-TR-LOC-N4.mp4,OBJ-N4-SBJ-N3-REVEAL-TR-LOC-N5.mp4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,OBJ.N5 SBJ.N4 HIDE-TR,,,1684.9525,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ.|N4|HIDE|OBJ.|N5,PUSH|N5|LOC.|N4|OBJ.|SBJ.|HIDE,pif|dabi|zsübe|fer|timó,vánta|timó|pa|dabi|fer|pif|zsübe,pif dabi vánta pa timó fer zsübe,0,7.2474,28.0641,1730.4399,0,0,0,0,1,OBJ-N5-SBJ-N4-HIDE-TR.mp4,SBJ.|N4|HIDE|OBJ.|N5,PUSH|N5|LOC.|N4|OBJ.|SBJ.|HIDE,pif-dabi zsübe fer-timó,pif|dabi|zsübe|fer|timó,vánta|timó|pa|dabi|fer|pif|zsübe
,,,,,,,,,,,,,,,,,,,,,,,,,1,,,ALP1204,1986.05.24.,2026-05-25_19h00.29.126,BrocantoHPilot1MorphSession2,2025.2.4,MacIntel,60.24096386,,,,,,,,,,,,,,,SBJ.N3 JUMP-INTR,,,1730.9505,1,SBJ-N3-JUMP-INTR.mp4,JUMP|SBJ.|N3,JUMP|Aa|SBJ.|N4|N3,bonip|pif|zilép,bonip|gyék|pif|dabi|zilép,pif zilép bonip,1,6.3994,10.1494,1754.7697,0,1,1,1,1,SBJ-N3-JUMP-INTR.mp4,JUMP|SBJ.|N3,JUMP|Aa|SBJ.|N4|N3,bonip pif-zilép,bonip|pif|zilép,bonip|gyék|pif|dabi|zilép
